"","ROI","zval","ci.lb","ci.ub","pval","QE","QEp"
"1","accumbens",-1.67795781942095,-0.109471241687285,0.00848604415450733,0.0933553337555721,7.33447829919164,0.693535651230136
"2","amy",-4.43212501908202,-0.201450714411424,-0.0779117134111185,9.3308885829122e-06,6.59317767463441,0.763211842191986
"3","caudate",0.44716442003599,-0.0662929035366893,0.105483591395201,0.654756348920669,17.3529197776,0.0669105051540167
"4","hippo",-7.02229113228682,-0.233422749276306,-0.131555194680395,2.1825914414064e-12,6.30394080098201,0.789113804624886
"5","latvent",4.90534215279691,0.0715159422182531,0.166694668385819,9.32646178339329e-07,9.65003408757814,0.471714492649006
"6","pallidum",6.82795895899635,0.208604389683762,0.376582003852436,8.61312168999338e-12,48.3157471198712,5.4347144006917e-07
"7","putamen",2.17958493010097,0.0101062781079306,0.190489265338041,0.0292882428720988,18.1902051274477,0.0518386665492154
"8","thalamus",-2.53545131765779,-0.209662648509503,-0.0268402784468309,0.0112302536592684,18.3742499912855,0.0489693082443127
