,ROI,Delta,,,,,
1,accumbens,0.254529524,,,,,
2,amy,0.094011053,,,,,
3,caudate,0.075342892,,,,,
4,hippo,0.768742522,,,,,
5,latvent,1.380811339,,,,,
6,pallidum,1.262434289,,,,,
7,putamen,0.279128043,,,,,
8,thalamus,0.487860891,,,,,
