Dataset,ROI,Analysis,p_value,R,SE,Empirical_p_value,Avg_R,pFDR
UKBB_FI,rVisCent_ExStr_2,allcov,1.34E-04,0.004178207,0.99790871,2.00E-04,-9.32E-06,1.52E-04
UKBB_FI,rVisCent_ExStr_3,allcov,6.16E-05,0.004539547,0.997727645,2.00E-04,-6.69E-06,7.54E-05
UKBB_FI,rVisPeri_StriCal_1,allcov,4.07E-06,0.005783732,0.99710394,0,3.44E-06,5.74E-06
UKBB_FI,rVisPeri_ExStrInf_1,allcov,1.37E-05,0.005231464,0.997380838,0,3.26E-06,1.83E-05
UKBB_FI,rVisPeri_ExStrSup_1,allcov,0.045805204,0.001311844,0.999343863,0.0462,5.38E-06,0.045805204
UKBB_FI,rSomMotA_1,allcov,9.76E-13,0.01248828,0.993736243,0,-1.03E-05,8.88E-12
UKBB_FI,rSomMotA_2,allcov,1.65E-09,0.009260254,0.995359104,0,1.48E-05,5.68E-09
UKBB_FI,rSomMotA_3,allcov,9.69E-10,0.009493086,0.995242138,0,-7.19E-06,3.73E-09
UKBB_FI,rSomMotA_4,allcov,1.66E-06,0.006189276,0.996900559,0,6.48E-06,2.60E-06
UKBB_FI,rSomMotB_Aud_1,allcov,1.27E-07,0.007340431,0.996323024,0,-1.58E-06,2.45E-07
UKBB_FI,rSomMotB_S2_1,allcov,2.42E-08,0.008077372,0.995953125,0,-7.32E-06,5.90E-08
UKBB_FI,rSomMotB_S2_2,allcov,3.58E-10,0.009928551,0.995023341,0,-5.17E-06,1.63E-09
UKBB_FI,rSomMotB_Cent_1,allcov,4.05E-08,0.007848829,0.996067854,0,-1.24E-05,8.81E-08
UKBB_FI,rDorsAttnA_TempOcc_1,allcov,6.29E-05,0.004530148,0.997732355,0,-1.73E-05,7.58E-05
UKBB_FI,rDorsAttnA_ParOcc_1,allcov,0.001689079,0.002976711,0.998510535,0.0014,6.65E-06,0.001777978
UKBB_FI,rDorsAttnA_SPL_1,allcov,0.001405095,0.003065556,0.998466046,0.0016,-8.50E-06,0.001494782
UKBB_FI,rDorsAttnB_PostC_1,allcov,7.09E-09,0.00861902,0.995681164,0,-7.63E-06,1.82E-08
UKBB_FI,rDorsAttnB_PostC_2,allcov,1.06E-04,0.004289146,0.997853122,0,-1.17E-05,1.23E-04
UKBB_FI,rDorsAttnB_FEF_1,allcov,0.001331164,0.003091589,0.998453009,0.0012,-2.30E-06,0.001431359
UKBB_FI,rSalVentAttnA_ParOper_1,allcov,4.55E-09,0.008813959,0.995583267,0,-1.09E-05,1.23E-08
UKBB_FI,rSalVentAttnA_Ins_1,allcov,3.28E-17,0.016889701,0.991519188,0,-1.59E-05,3.28E-15
UKBB_FI,rSalVentAttnA_ParMed_1,allcov,5.68E-05,0.004577122,0.997708814,0,8.23E-07,7.10E-05
UKBB_FI,rSalVentAttnA_FrMed_1,allcov,1.46E-05,0.005202765,0.997395225,0,3.46E-06,1.92E-05
UKBB_FI,rSalVentAttnB_IPL_1,allcov,6.57E-04,0.00342978,0.998283637,0.0012,2.75E-06,7.30E-04
UKBB_FI,rSalVentAttnB_PFCl_1,allcov,4.20E-08,0.007833136,0.996075732,0,-6.44E-06,8.93E-08
UKBB_FI,rSalVentAttnB_PFCmp_1,allcov,4.37E-09,0.008832063,0.995574175,0,-7.97E-06,1.21E-08
UKBB_FI,rLimbicB_OFC_1,allcov,1.99E-09,0.009177003,0.995400923,0,-1.00E-05,6.43E-09
UKBB_FI,rLimbicA_TempPole_1,allcov,3.15E-13,0.012975091,0.993491273,0,9.91E-06,4.50E-12
UKBB_FI,rContA_IPS_1,allcov,9.91E-04,0.003233301,0.998382041,6.00E-04,-5.27E-06,0.001077177
UKBB_FI,rContA_PFCl_1,allcov,5.96E-10,0.009705466,0.995135435,0,-3.73E-07,2.48E-09
UKBB_FI,rContA_PFCl_2,allcov,2.76E-10,0.010042044,0.994966309,0,-6.10E-06,1.31E-09
UKBB_FI,rContB_Temp_1,allcov,3.41E-07,0.006901081,0.996543486,0,1.41E-05,5.87E-07
UKBB_FI,rContB_IPL_1,allcov,3.68E-08,0.007891162,0.996046604,0,1.05E-05,8.18E-08
UKBB_FI,rContB_PFCld_1,allcov,2.13E-06,0.006077907,0.996956415,0,-2.46E-06,3.13E-06
UKBB_FI,rContB_PFClv_1,allcov,1.05E-14,0.014434734,0.992756398,0,2.39E-05,3.49E-13
UKBB_FI,rContC_Cingp_1,allcov,6.18E-05,0.004538091,0.997728374,2.00E-04,-1.23E-05,7.54E-05
UKBB_FI,rContC_pCun_1,allcov,1.32E-04,0.004186014,0.997904798,2.00E-04,6.77E-07,1.52E-04
UKBB_FI,rDefaultA_IPL_1,allcov,2.65E-13,0.013049375,0.993453887,0,5.66E-06,4.42E-12
UKBB_FI,rDefaultA_PFCd_1,allcov,2.75E-09,0.009034836,0.995472332,0,3.08E-06,8.61E-09
UKBB_FI,rDefaultA_pCunPCC_1,allcov,1.73E-06,0.006171457,0.996909496,0,9.06E-06,2.62E-06
UKBB_FI,rDefaultA_PFCm_1,allcov,2.12E-10,0.010156065,0.994909008,0,3.84E-06,1.12E-09
UKBB_FI,rDefaultB_PFCd_1,allcov,6.50E-09,0.00865708,0.995662051,0,2.52E-07,1.71E-08
UKBB_FI,rDefaultB_PFCv_1,allcov,1.32E-06,0.006292162,0.996848955,0,3.38E-06,2.10E-06
UKBB_FI,rDefaultB_PFCv_2,allcov,1.70E-10,0.010252313,0.994860637,0,-1.17E-05,9.46E-10
UKBB_FI,rDefaultC_Rsp_1,allcov,2.99E-05,0.004873823,0.997560112,0,-1.20E-05,3.83E-05
UKBB_FI,rDefaultC_PHC_1,allcov,9.12E-10,0.0095195,0.995228868,0,-5.78E-06,3.65E-09
UKBB_FI,rTempPar_1,allcov,2.51E-12,0.012080671,0.99394131,0,3.96E-06,1.93E-11
UKBB_FI,rTempPar_2,allcov,7.24E-12,0.011623368,0.994171329,0,8.18E-06,5.17E-11
UKBB_FI,rTempPar_3,allcov,9.78E-08,0.007457558,0.996264243,0,-9.72E-06,2.04E-07
