Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_NB,lDorsAttnB_PostC_3,corrected,0.63527907,0.67527907,0.474939145,0.074535865,243
UNIBA2_NB,lLimbicA_TempPole_1,standard,0.0113824,0.0513824,-2.550733004,0.070646359,243
UNIBA2_NB,lLimbicA_TempPole_1,corrected,0.03765659,0.07765659,-2.090609288,0.074667228,243
UNIBA2_NB,lLimbicA_TempPole_2,standard,0.04910794,0.08910794,-1.977859386,0.070631917,243
UNIBA2_NB,lLimbicA_TempPole_2,corrected,0.13246911,0.17246911,-1.509768485,0.074647207,243
UNIBA2_NB,lLimbicB_OFC_1,standard,0.03534549,0.07534549,-2.116546993,0.070633915,243
UNIBA2_NB,lLimbicB_OFC_1,corrected,0.18944976,0.22944976,-1.316085714,0.074615201,243
UNIBA2_NB,lSalVentAttnA_FrMed_1,standard,0.26275372,0.30275372,-1.122586964,0.070640407,243
UNIBA2_NB,lSalVentAttnA_FrMed_1,corrected,0.66774487,0.70774487,-0.42979575,0.074686639,243
UNIBA2_NB,lSalVentAttnA_Ins_1,standard,0.02453893,0.06453893,-2.263099732,0.070611117,243
UNIBA2_NB,lSalVentAttnA_Ins_1,corrected,0.03583436,0.07583436,-2.111149156,0.074651286,243
UNIBA2_NB,lSalVentAttnA_Ins_2,standard,0.00067869,0.04067869,-3.443757457,0.070649575,243
UNIBA2_NB,lSalVentAttnA_Ins_2,corrected,0.00242903,0.04242903,-3.065835205,0.074661547,243
UNIBA2_NB,lSalVentAttnA_ParMed_1,standard,0.03751727,0.07751727,-2.09189235,0.070605928,243
UNIBA2_NB,lSalVentAttnA_ParMed_1,corrected,0.08068981,0.12068981,-1.75438901,0.07466987,243
UNIBA2_NB,lSalVentAttnA_ParOper_1,standard,0.10207735,0.14207735,-1.641250697,0.070616878,243
UNIBA2_NB,lSalVentAttnA_ParOper_1,corrected,0.09666015,0.13666015,-1.668052929,0.074637919,243
UNIBA2_NB,lSalVentAttnB_PFCl_1,standard,0.0745053,0.1145053,-1.791431705,0.070613912,243
UNIBA2_NB,lSalVentAttnB_PFCl_1,corrected,0.32054952,0.36054952,-0.995469626,0.074638139,243
UNIBA2_NB,lSalVentAttnB_PFCmp_1,standard,0.00176774,0.04176774,-3.16277924,0.070634079,243
UNIBA2_NB,lSalVentAttnB_PFCmp_1,corrected,0.00617382,0.04617382,-2.763808925,0.074643366,243
UNIBA2_NB,lSomMotA_1,standard,0.20306112,0.24306112,-1.276421715,0.070587956,243
UNIBA2_NB,lSomMotA_1,corrected,0.34388236,0.38388236,-0.948468155,0.074646681,243
UNIBA2_NB,lSomMotA_2,standard,0.04122956,0.08122956,-2.052445641,0.070647425,243
UNIBA2_NB,lSomMotA_2,corrected,0.09754522,0.13754522,-1.663615885,0.074656657,243
UNIBA2_NB,lSomMotB_Aud_1,standard,0.01775431,0.05775431,-2.387440044,0.070619574,243
UNIBA2_NB,lSomMotB_Aud_1,corrected,0.02063367,0.06063367,-2.330652167,0.074657215,243
UNIBA2_NB,lSomMotB_Cent_1,standard,0.04413615,0.08413615,-2.0236226,0.070615934,243
UNIBA2_NB,lSomMotB_Cent_1,corrected,0.11100209,0.15100209,-1.599834404,0.074632724,243
UNIBA2_NB,lSomMotB_S2_1,standard,0.02722674,0.06722674,-2.222080844,0.070609492,243
UNIBA2_NB,lSomMotB_S2_1,corrected,0.04263603,0.08263603,-2.038529782,0.074661651,243
UNIBA2_NB,lSomMotB_S2_2,standard,0.13363753,0.17363753,-1.505092269,0.070626899,243
UNIBA2_NB,lSomMotB_S2_2,corrected,0.16172884,0.20172884,-1.403774791,0.07465585,243
UNIBA2_NB,lTempPar_1,standard,0.56653428,0.60653428,-0.573970649,0.070561099,243
UNIBA2_NB,lTempPar_1,corrected,0.97895148,1.01895148,-0.026412057,0.075722993,243
UNIBA2_NB,lVisCent_ExStr_1,standard,0.16788638,0.20788638,-1.383279399,0.07062926,243
UNIBA2_NB,lVisCent_ExStr_1,corrected,0.33187074,0.37187074,-0.972395904,0.074660948,243
UNIBA2_NB,lVisCent_ExStr_2,standard,0.20501208,0.24501208,-1.270909681,0.07065805,243
UNIBA2_NB,lVisCent_ExStr_2,corrected,0.23222579,0.27222579,-1.197791447,0.074637367,243
UNIBA2_NB,lVisCent_ExStr_3,standard,0.00638466,0.04638466,-2.751927501,0.070641396,243
UNIBA2_NB,lVisCent_ExStr_3,corrected,0.00680575,0.04680575,-2.730787021,0.074667119,243
UNIBA2_NB,lVisCent_Striate_1,standard,0.04722048,0.08722048,-1.994749571,0.070635433,243
UNIBA2_NB,lVisCent_Striate_1,corrected,0.07787085,0.11787085,-1.771051052,0.07464494,243
UNIBA2_NB,lVisPeri_ExStrInf_1,standard,0.02342362,0.06342362,-2.281280059,0.070618248,243
UNIBA2_NB,lVisPeri_ExStrInf_1,corrected,0.0857508,0.1257508,-1.725632583,0.074639295,243
UNIBA2_NB,lVisPeri_ExStrSup_1,standard,0.02341137,0.06341137,-2.281483903,0.070611938,243
UNIBA2_NB,lVisPeri_ExStrSup_1,corrected,0.05870908,0.09870908,-1.899768204,0.074640685,243
UNIBA2_NB,lVisPeri_StriCal_1,standard,0.02187113,0.06187113,-2.307888899,0.070627317,243
UNIBA2_NB,lVisPeri_StriCal_1,corrected,0.04454548,0.08454548,-2.019928525,0.074656107,243
UNIBA2_NB,rContA_IPS_1,standard,0.33786161,0.37786161,-0.960350703,0.070599209,243
UNIBA2_NB,rContA_IPS_1,corrected,0.28150357,0.32150357,-1.079471118,0.074666194,243
UNIBA2_NB,rContA_PFCl_1,standard,0.03754829,0.07754829,-2.091549161,0.070617513,243
UNIBA2_NB,rContA_PFCl_1,corrected,0.12541022,0.16541022,-1.538028691,0.074641,243
UNIBA2_NB,rContA_PFCl_2,standard,0.04417037,0.08417037,-2.023292994,0.070627438,243
UNIBA2_NB,rContA_PFCl_2,corrected,0.12801398,0.16801398,-1.527463072,0.074633556,243
UNIBA2_NB,rContB_IPL_1,standard,0.21933188,0.25933188,-1.231579802,0.070640977,243
UNIBA2_NB,rContB_IPL_1,corrected,0.30555781,0.34555781,-1.026865605,0.074595935,243
UNIBA2_NB,rContB_PFCld_1,standard,0.95638359,0.99638359,-0.054750459,0.07123228,243
UNIBA2_NB,rContB_PFCld_1,corrected,0.41749693,0.45749693,0.812228193,0.074609575,243
UNIBA2_NB,rContB_PFClv_1,standard,0.03230125,0.07230125,-2.153394611,0.070632665,243
UNIBA2_NB,rContB_PFClv_1,corrected,0.09962758,0.13962758,-1.653302869,0.074638472,243
UNIBA2_NB,rContB_Temp_1,standard,0.12237751,0.16237751,-1.550433281,0.070625419,243
UNIBA2_NB,rContB_Temp_1,corrected,0.10902665,0.14902665,-1.608796437,0.07465208,243
UNIBA2_NB,rContC_Cingp_1,standard,0.63203847,0.67203847,-0.479483867,0.070701023,243
UNIBA2_NB,rContC_Cingp_1,corrected,0.58806262,0.62806262,-0.542404709,0.074667493,243
UNIBA2_NB,rContC_pCun_1,standard,0.97821536,1.01821536,0.027335353,0.069507058,243
UNIBA2_NB,rContC_pCun_1,corrected,0.73046004,0.77046004,0.344931077,0.074507639,243
UNIBA2_NB,rDefaultA_IPL_1,standard,0.05542225,0.09542225,-1.925072518,0.070646689,243
UNIBA2_NB,rDefaultA_IPL_1,corrected,0.08489611,0.12489611,-1.730390078,0.074665246,243
UNIBA2_NB,rDefaultA_pCunPCC_1,standard,0.64776635,0.68776635,-0.457452957,0.070608353,243
UNIBA2_NB,rDefaultA_pCunPCC_1,corrected,0.78948496,0.82948496,-0.267289231,0.074825312,243
UNIBA2_NB,rDefaultA_PFCd_1,standard,0.03539795,0.07539795,-2.115936322,0.07060704,243
UNIBA2_NB,rDefaultA_PFCd_1,corrected,0.06809522,0.10809522,-1.832962119,0.074633294,243
UNIBA2_NB,rDefaultA_PFCm_1,standard,0.04505122,0.08505122,-2.014882423,0.070624468,243
UNIBA2_NB,rDefaultA_PFCm_1,corrected,0.1739664,0.2139664,-1.363773223,0.074645842,243
UNIBA2_NB,rDefaultB_PFCd_1,standard,0.02377541,0.06377541,-2.275465523,0.070622911,243
UNIBA2_NB,rDefaultB_PFCd_1,corrected,0.07447404,0.11447404,-1.791798656,0.074673569,243
UNIBA2_NB,rDefaultB_PFCv_1,standard,0.12326591,0.16326591,-1.546739758,0.070600112,243
UNIBA2_NB,rDefaultB_PFCv_1,corrected,0.33402049,0.37402049,-0.968072775,0.074684468,243
UNIBA2_NB,rDefaultB_PFCv_2,standard,0.02163936,0.06163936,-2.312002208,0.07063142,243
UNIBA2_NB,rDefaultB_PFCv_2,corrected,0.08433263,0.12433263,-1.733547967,0.074644603,243
UNIBA2_NB,rDefaultC_PHC_1,standard,0.04134048,0.08134048,-2.051314424,0.070637635,243
UNIBA2_NB,rDefaultC_PHC_1,corrected,0.12971924,0.16971924,-1.520634243,0.074639908,243
UNIBA2_NB,rDefaultC_Rsp_1,standard,0.08138778,0.12138778,-1.750174471,0.070621531,243
UNIBA2_NB,rDefaultC_Rsp_1,corrected,0.13073881,0.17073881,-1.516584756,0.074641394,243
UNIBA2_NB,rDorsAttnA_ParOcc_1,standard,0.97975117,1.01975117,-0.025407788,0.070844421,243
UNIBA2_NB,rDorsAttnA_ParOcc_1,corrected,0.71918844,0.75918844,0.359983415,0.074725665,243
UNIBA2_NB,rDorsAttnA_SPL_1,standard,0.90821023,0.94821023,-0.11542018,0.071044769,243
UNIBA2_NB,rDorsAttnA_SPL_1,corrected,0.83744292,0.87744292,-0.20539691,0.074489923,243
UNIBA2_NB,rDorsAttnA_TempOcc_1,standard,0.63114776,0.67114776,-0.480738445,0.070516515,243
UNIBA2_NB,rDorsAttnA_TempOcc_1,corrected,0.89744278,0.93744278,-0.129034306,0.074398819,243
UNIBA2_NB,rDorsAttnB_FEF_1,standard,0.65841063,0.69841063,-0.442668986,0.070707461,243
UNIBA2_NB,rDorsAttnB_FEF_1,corrected,0.95937356,0.99937356,0.050995016,0.074517086,243
UNIBA2_NB,rDorsAttnB_PostC_1,standard,0.27555353,0.31555353,-1.092896625,0.070637971,243
UNIBA2_NB,rDorsAttnB_PostC_1,corrected,0.41210773,0.45210773,-0.821677478,0.074603481,243
UNIBA2_NB,rDorsAttnB_PostC_2,standard,0.22125619,0.26125619,1.226437853,0.070610997,243
UNIBA2_NB,rDorsAttnB_PostC_2,corrected,0.17965481,0.21965481,1.345898045,0.074671332,243
UNIBA2_NB,rLimbicA_TempPole_1,standard,0.18271984,0.22271984,-1.336356345,0.070639841,243
UNIBA2_NB,rLimbicA_TempPole_1,corrected,0.34228149,0.38228149,-0.951625672,0.074609168,243
UNIBA2_NB,rLimbicB_OFC_1,standard,0.17294539,0.21294539,-1.366938091,0.070595736,243
UNIBA2_NB,rLimbicB_OFC_1,corrected,0.50009787,0.54009787,-0.675398917,0.074622566,243
UNIBA2_NB,rSalVentAttnA_FrMed_1,standard,0.15301587,0.19301587,-1.433579303,0.070592537,243
UNIBA2_NB,rSalVentAttnA_FrMed_1,corrected,0.41774846,0.45774846,-0.811788942,0.074649945,243
UNIBA2_NB,rSalVentAttnA_Ins_1,standard,0.00255354,0.04255354,-3.049528139,0.070633878,243
UNIBA2_NB,rSalVentAttnA_Ins_1,corrected,0.00684125,0.04684125,-2.729015457,0.074642304,243
UNIBA2_NB,rSalVentAttnA_ParMed_1,standard,0.05991656,0.09991656,-1.890497977,0.070616315,243
UNIBA2_NB,rSalVentAttnA_ParMed_1,corrected,0.08707306,0.12707306,-1.718347863,0.074664742,243
UNIBA2_NB,rSalVentAttnA_ParOper_1,standard,0.02875287,0.06875287,-2.200333269,0.070625665,243
UNIBA2_NB,rSalVentAttnA_ParOper_1,corrected,0.04987067,0.08987067,-1.971409427,0.074667392,243
UNIBA2_NB,rSalVentAttnB_IPL_1,standard,0.90519207,0.94519207,-0.119233158,0.070450202,243
UNIBA2_NB,rSalVentAttnB_IPL_1,corrected,0.92776945,0.96776945,0.090750544,0.074930681,243
UNIBA2_NB,rSalVentAttnB_PFCl_1,standard,0.02247332,0.06247332,-2.297377332,0.070645774,243
UNIBA2_NB,rSalVentAttnB_PFCl_1,corrected,0.04933858,0.08933858,-1.976054734,0.074643681,243
UNIBA2_NB,rSalVentAttnB_PFCmp_1,standard,0.02130398,0.06130398,-2.318023186,0.070620519,243
UNIBA2_NB,rSalVentAttnB_PFCmp_1,corrected,0.08148375,0.12148375,-1.749782282,0.074637857,243
UNIBA2_NB,rSomMotA_1,standard,0.02238277,0.06238277,-2.298942067,0.070641189,243
UNIBA2_NB,rSomMotA_1,corrected,0.04104331,0.08104331,-2.054595993,0.07466188,243
UNIBA2_NB,rSomMotA_2,standard,0.25031097,0.29031097,-1.152428652,0.07063344,243
UNIBA2_NB,rSomMotA_2,corrected,0.35373598,0.39373598,-0.929237568,0.074684884,243
UNIBA2_NB,rSomMotA_3,standard,0.02045436,0.06045436,-2.333656509,0.07061879,243
UNIBA2_NB,rSomMotA_3,corrected,0.03156659,0.07156659,-2.163014026,0.074664333,243
UNIBA2_NB,rSomMotA_4,standard,0.17811593,0.21811593,-1.35060404,0.070635062,243
UNIBA2_NB,rSomMotA_4,corrected,0.28179624,0.32179624,-1.078813092,0.074619043,243
UNIBA2_NB,rSomMotB_Aud_1,standard,0.07855603,0.11855603,-1.76678968,0.070636591,243
UNIBA2_NB,rSomMotB_Aud_1,corrected,0.07486601,0.11486601,-1.789365319,0.074663345,243
UNIBA2_NB,rSomMotB_Cent_1,standard,0.01204939,0.05204939,-2.530262297,0.070625089,243
UNIBA2_NB,rSomMotB_Cent_1,corrected,0.01141595,0.05141595,-2.550113716,0.074663337,243
UNIBA2_NB,rSomMotB_S2_1,standard,0.0611793,0.1011793,-1.881174569,0.070647351,243
UNIBA2_NB,rSomMotB_S2_1,corrected,0.09638787,0.13638787,-1.669424504,0.074636499,243
UNIBA2_NB,rSomMotB_S2_2,standard,0.02274127,0.06274127,-2.292779154,0.070612994,243
UNIBA2_NB,rSomMotB_S2_2,corrected,0.06758062,0.10758062,-1.836419949,0.074656126,243
UNIBA2_NB,rTempPar_1,standard,0.01525928,0.05525928,-2.443987945,0.07062228,243
UNIBA2_NB,rTempPar_1,corrected,0.01783709,0.05783709,-2.386051272,0.074642151,243
UNIBA2_NB,rTempPar_2,standard,0.00207404,0.04207404,-3.113966872,0.070649435,243
UNIBA2_NB,rTempPar_2,corrected,0.00113295,0.04113295,-3.296569209,0.07465337,243
UNIBA2_NB,rTempPar_3,standard,0.34079022,0.38079022,-0.954533747,0.07061039,243
UNIBA2_NB,rTempPar_3,corrected,0.36064718,0.40064718,-0.915952172,0.074676388,243
UNIBA2_NB,rVisCent_ExStr_1,standard,0.15229635,0.19229635,-1.436106081,0.070607597,243
UNIBA2_NB,rVisCent_ExStr_1,corrected,0.3319368,0.3719368,-0.972262787,0.07467117,243
UNIBA2_NB,rVisCent_ExStr_2,standard,0.20888367,0.24888367,-1.260083895,0.070630218,243
UNIBA2_NB,rVisCent_ExStr_2,corrected,0.40521107,0.44521107,-0.833878194,0.07459123,243
UNIBA2_NB,rVisCent_ExStr_3,standard,0.04849846,0.08849846,-1.983252484,0.070641535,243
UNIBA2_NB,rVisCent_ExStr_3,corrected,0.07908649,0.11908649,-1.763806199,0.074668067,243
UNIBA2_NB,rVisPeri_ExStrInf_1,standard,0.05790129,0.09790129,-1.905723214,0.070629354,243
UNIBA2_NB,rVisPeri_ExStrInf_1,corrected,0.07213481,0.11213481,-1.806543692,0.074672979,243
UNIBA2_NB,rVisPeri_ExStrSup_1,standard,0.03499828,0.07499828,-2.120608504,0.070640102,243
UNIBA2_NB,rVisPeri_ExStrSup_1,corrected,0.06058986,0.10058986,-1.885702911,0.074667117,243
UNIBA2_NB,rVisPeri_StriCal_1,standard,0.16827723,0.20827723,-1.382003755,0.070622095,243
UNIBA2_NB,rVisPeri_StriCal_1,corrected,0.32954636,0.36954636,-0.977090759,0.074609241,243
