Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_REST_BD_adj,lDorsAttnB_PostC_2,standard,0.734151075,0.997912684,0.340201416,0.17879788,165
UCLA_REST_BD_adj,lDorsAttnB_PostC_2,corrected,0.795825634,0.997912684,0.259198989,0.183947257,165
UCLA_REST_BD_adj,lDorsAttnB_PostC_3,standard,0.339813048,0.997912684,0.957393546,0.178799289,165
UCLA_REST_BD_adj,lDorsAttnB_PostC_3,corrected,0.43079632,0.997912684,0.789894169,0.18394833,165
UCLA_REST_BD_adj,lLimbicA_TempPole_1,standard,0.903028645,0.997912684,-0.12202968,0.178797708,165
UCLA_REST_BD_adj,lLimbicA_TempPole_1,corrected,0.868443218,0.997912684,-0.16591098,0.18394718,165
UCLA_REST_BD_adj,lLimbicA_TempPole_2,standard,0.131003819,0.997912684,-1.517936517,0.178801716,165
UCLA_REST_BD_adj,lLimbicA_TempPole_2,corrected,0.161566346,0.997912684,-1.406537461,0.183950931,165
UCLA_REST_BD_adj,lLimbicB_OFC_1,standard,0.365949828,0.997912684,-0.906660382,0.178799123,165
UCLA_REST_BD_adj,lLimbicB_OFC_1,corrected,0.408921265,0.997912684,-0.828039487,0.18394845,165
UCLA_REST_BD_adj,lSalVentAttnA_FrMed_1,standard,0.95727311,0.997912684,-0.053659853,0.178797694,165
UCLA_REST_BD_adj,lSalVentAttnA_FrMed_1,corrected,0.875106983,0.997912684,-0.157434934,0.183947173,165
UCLA_REST_BD_adj,lSalVentAttnA_Ins_1,standard,0.759344589,0.997912684,-0.306865716,0.178797843,165
UCLA_REST_BD_adj,lSalVentAttnA_Ins_1,corrected,0.731758616,0.997912684,-0.343405701,0.183947354,165
UCLA_REST_BD_adj,lSalVentAttnA_Ins_2,standard,0.963053119,0.997912684,-0.0463952,0.178797675,165
UCLA_REST_BD_adj,lSalVentAttnA_Ins_2,corrected,0.834374821,0.997912684,-0.209446375,0.183947213,165
UCLA_REST_BD_adj,lSalVentAttnA_ParMed_1,standard,0.503947648,0.997912684,-0.669804918,0.178798468,165
UCLA_REST_BD_adj,lSalVentAttnA_ParMed_1,corrected,0.464817499,0.997912684,-0.732750132,0.183948163,165
