Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_SCAP_BD_adj,lDorsAttnB_PostC_1,standard,0.593925705,0.997912684,0.534227422,0.17879818,165
UCLA_SCAP_BD_adj,lDorsAttnB_PostC_1,corrected,0.357021608,0.997912684,0.923809114,0.186677847,165
UCLA_SCAP_BD_adj,lDorsAttnB_PostC_2,standard,0.734151075,0.997912684,0.340201416,0.17879788,165
UCLA_SCAP_BD_adj,lDorsAttnB_PostC_2,corrected,0.447863437,0.997912684,0.760915727,0.186677311,165
UCLA_SCAP_BD_adj,lDorsAttnB_PostC_3,standard,0.339813048,0.997912684,0.957393546,0.178799289,165
UCLA_SCAP_BD_adj,lDorsAttnB_PostC_3,corrected,0.22178405,0.997912684,1.226730529,0.186679116,165
UCLA_SCAP_BD_adj,lLimbicA_TempPole_1,standard,0.903028645,0.997912684,-0.12202968,0.178797708,165
UCLA_SCAP_BD_adj,lLimbicA_TempPole_1,corrected,0.943343589,0.997912684,-0.071183358,0.186676189,165
UCLA_SCAP_BD_adj,lLimbicA_TempPole_2,standard,0.131003819,0.997912684,-1.517936517,0.178801716,165
UCLA_SCAP_BD_adj,lLimbicA_TempPole_2,corrected,0.19716591,0.997912684,-1.295232333,0.186679453,165
UCLA_SCAP_BD_adj,lLimbicB_OFC_1,standard,0.365949828,0.997912684,-0.906660382,0.178799123,165
UCLA_SCAP_BD_adj,lLimbicB_OFC_1,corrected,0.737476829,0.997912684,-0.335798631,0.186676398,165
UCLA_SCAP_BD_adj,lSalVentAttnA_FrMed_1,standard,0.95727311,0.997912684,-0.053659853,0.178797694,165
UCLA_SCAP_BD_adj,lSalVentAttnA_FrMed_1,corrected,0.924801946,0.997912684,0.094540464,0.186676194,165
UCLA_SCAP_BD_adj,lSalVentAttnA_Ins_1,standard,0.759344589,0.997912684,-0.306865716,0.178797843,165
UCLA_SCAP_BD_adj,lSalVentAttnA_Ins_1,corrected,0.894371906,0.997912684,0.132992382,0.186676211,165
UCLA_SCAP_BD_adj,lSalVentAttnA_Ins_2,standard,0.963053119,0.997912684,-0.0463952,0.178797675,165
UCLA_SCAP_BD_adj,lSalVentAttnA_Ins_2,corrected,0.974234031,0.997912684,0.032350658,0.186676169,165
UCLA_SCAP_BD_adj,lSalVentAttnA_ParMed_1,standard,0.503947648,0.997912684,-0.669804918,0.178798468,165
UCLA_SCAP_BD_adj,lSalVentAttnA_ParMed_1,corrected,0.701217729,0.997912684,-0.384388016,0.186676467,165
UCLA_SCAP_BD_adj,lSalVentAttnA_ParOper_1,standard,0.080174349,0.997912684,-1.76084929,0.178803103,165
UCLA_SCAP_BD_adj,lSalVentAttnA_ParOper_1,corrected,0.298816731,0.997912684,-1.042470686,0.186678302,165
UCLA_SCAP_BD_adj,lSalVentAttnB_PFCl_1,standard,0.717299658,0.997912684,0.362710745,0.17879791,165
UCLA_SCAP_BD_adj,lSalVentAttnB_PFCl_1,corrected,0.77490319,0.997912684,0.286466762,0.186676338,165
UCLA_SCAP_BD_adj,lSalVentAttnB_PFCmp_1,standard,0.888370016,0.997912684,-0.14059085,0.178797716,165
UCLA_SCAP_BD_adj,lSalVentAttnB_PFCmp_1,corrected,0.856242285,0.997912684,0.181461683,0.186676242,165
UCLA_SCAP_BD_adj,lSomMotA_1,standard,0.096748257,0.997912684,-1.670637578,0.178802564,165
UCLA_SCAP_BD_adj,lSomMotA_1,corrected,0.214012079,0.997912684,-1.24772892,0.186679218,165
UCLA_SCAP_BD_adj,lSomMotA_2,standard,0.968166134,0.997912684,0.03997093,0.17879769,165
UCLA_SCAP_BD_adj,lSomMotA_2,corrected,0.610807283,0.997912684,0.509956538,0.186676687,165
UCLA_SCAP_BD_adj,lSomMotB_Aud_1,standard,0.875735832,0.997912684,-0.156627571,0.178797722,165
UCLA_SCAP_BD_adj,lSomMotB_Aud_1,corrected,0.99000154,0.997912684,-0.012551771,0.18667621,165
UCLA_SCAP_BD_adj,lSomMotB_Cent_1,standard,0.928465686,0.997912684,0.089916932,0.178797693,165
UCLA_SCAP_BD_adj,lSomMotB_Cent_1,corrected,0.823122378,0.997912684,0.223909762,0.186676278,165
UCLA_SCAP_BD_adj,lSomMotB_S2_1,standard,0.994382071,0.997912684,0.007052099,0.178797694,165
UCLA_SCAP_BD_adj,lSomMotB_S2_1,corrected,0.688100973,0.997912684,0.402186325,0.186676494,165
UCLA_SCAP_BD_adj,lSomMotB_S2_2,standard,0.712803741,0.997912684,-0.368747059,0.178797917,165
UCLA_SCAP_BD_adj,lSomMotB_S2_2,corrected,0.898998542,0.997912684,-0.127134735,0.186676207,165
UCLA_SCAP_BD_adj,lTempPar_1,standard,0.038967105,0.997912684,2.081646358,0.17880524,165
UCLA_SCAP_BD_adj,lTempPar_1,corrected,0.046503377,0.997912684,2.006858195,0.186684001,165
UCLA_SCAP_BD_adj,lVisCent_ExStr_1,standard,0.432151636,0.997912684,-0.787504493,0.178798769,165
UCLA_SCAP_BD_adj,lVisCent_ExStr_1,corrected,0.55800646,0.997912684,-0.587076545,0.186676853,165
UCLA_SCAP_BD_adj,lVisCent_ExStr_2,standard,0.343648704,0.997912684,-0.94979534,0.178799263,165
UCLA_SCAP_BD_adj,lVisCent_ExStr_2,corrected,0.28862668,0.997912684,-1.064790442,0.186678393,165
