,ROI,zval,ci.lb,ci.ub,pval,QE,QEp
83,rSalVentAttnB_PFCmp_1,-8.230936564,-0.210907854,-0.129782188,1.86E-16,6.913479328,0.733587015
84,rSomMotA_1,-2.853174508,-0.137476721,-0.025512595,0.004328484,9.019820035,0.530223621
85,rSomMotA_2,-1.906227104,-0.12917831,0.001795472,0.056620747,12.71503305,0.240043912
86,rSomMotA_3,-3.557408506,-0.105655817,-0.030590522,0.000374531,3.957685544,0.94923567
87,rSomMotA_4,-2.24682417,-0.179284348,-0.01222537,0.024651266,21.2108626,0.019670256
88,rSomMotB_Aud_1,-9.739600736,-0.225187234,-0.149738467,2.04E-22,3.195448175,0.976442982
89,rSomMotB_Cent_1,-4.04182169,-0.171739077,-0.059571657,5.30E-05,9.234439989,0.510008428
90,rSomMotB_S2_1,-9.732877761,-0.22647423,-0.150550628,2.18E-22,5.204995852,0.87706999
91,rSomMotB_S2_2,-8.893811952,-0.207114558,-0.132313479,5.90E-19,5.986651409,0.816383485
92,rTempPar_1,-9.366379959,-0.217048082,-0.141930034,7.51E-21,3.498341676,0.967154658
93,rTempPar_2,-8.888420936,-0.208576379,-0.133209918,6.20E-19,2.719565656,0.987275483
94,rTempPar_3,-5.651382572,-0.169070011,-0.081997079,1.59E-08,5.47733799,0.857100197
95,rVisCent_ExStr_1,-7.153504114,-0.177522555,-0.101165715,8.46E-13,6.495670176,0.772043555
96,rVisCent_ExStr_2,-3.976625203,-0.18847453,-0.064024857,6.99E-05,9.373282038,0.497081644
97,rVisCent_ExStr_3,-3.210780068,-0.193597755,-0.046831787,0.001323752,45.82433369,1.54E-06
98,rVisPeri_ExStrInf_1,-5.890106003,-0.150487563,-0.075341684,3.86E-09,3.838921769,0.954321045
99,rVisPeri_ExStrSup_1,-2.761183654,-0.181441592,-0.030792211,0.005759228,16.37832624,0.089302483
100,rVisPeri_StriCal_1,-2.923587026,-0.240296732,-0.047415388,0.003460235,36.8983079,5.89E-05
