Scan,PrincipalComponent,Eigenvalue,CumulativeVariance
NB,1,10.28,57.09
NB,2,2.23,69.48
NB,3,1.27,76.54
NB,4,1.10,82.64
NB,5,0.97,88.01
NB,6,0.68,91.77
NB,7,0.53,94.71
NB,8,0.37,96.76
NB,9,0.15,97.59
NB,10,0.09,98.10
NB,11,0.07,98.51
NB,12,0.07,98.90
FE,1,10.21,56.75
FE,2,1.97,67.68
FE,3,1.30,74.90
FE,4,1.19,81.49
FE,5,0.88,86.39
FE,6,0.77,90.69
FE,7,0.56,93.82
FE,8,0.35,95.78
FE,9,0.18,96.78
FE,10,0.15,97.62
FE,11,0.13,98.32
FE,12,0.08,98.78
FI,1,9.24,51.36
FI,2,2.37,64.52
FI,3,1.57,73.22
FI,4,1.26,80.20
FI,5,1.06,86.07
FI,6,0.72,90.06
FI,7,0.62,93.49
FI,8,0.36,95.49
FI,9,0.20,96.62
FI,10,0.17,97.57
FI,11,0.10,98.15
FI,12,0.09,98.66
