MotionParameter,Scan,PC,Loadings
18.mean_eu,NB,PC1,0.90
18.mean_eu,NB,PC2,-0.09
18.mean_eu,NB,PC3,0.17
18.mean_eu,NB,PC4,0.04
18.mean_eu,NB,PC5,0.12
18.mean_eu,RS,PC1,0.86
18.mean_eu,RS,PC2,-0.07
18.mean_eu,RS,PC3,0.20
18.mean_eu,RS,PC4,0.08
18.mean_eu,RS,PC5,0.03
18.mean_eu,FI,PC1,0.22
18.mean_eu,FI,PC2,0.34
18.mean_eu,FI,PC3,0.78
18.mean_eu,FI,PC4,0.40
18.mean_eu,FI,PC5,0.18
17.max_eu,NB,PC1,0.69
17.max_eu,NB,PC2,0.27
17.max_eu,NB,PC3,0.06
17.max_eu,NB,PC4,0.05
17.max_eu,NB,PC5,0.13
17.max_eu,RS,PC1,0.67
17.max_eu,RS,PC2,0.25
17.max_eu,RS,PC3,0.12
17.max_eu,RS,PC4,0.13
17.max_eu,RS,PC5,0.03
17.max_eu,FI,PC1,0.45
17.max_eu,FI,PC2,0.27
17.max_eu,FI,PC3,0.74
17.max_eu,FI,PC4,0.32
17.max_eu,FI,PC5,0.17
16.mean_eu_rel,NB,PC1,-0.01
16.mean_eu_rel,NB,PC2,0.92
16.mean_eu_rel,NB,PC3,0.05
16.mean_eu_rel,NB,PC4,-0.01
16.mean_eu_rel,NB,PC5,-0.00
16.mean_eu_rel,RS,PC1,0.14
16.mean_eu_rel,RS,PC2,0.86
16.mean_eu_rel,RS,PC3,0.06
16.mean_eu_rel,RS,PC4,-0.03
16.mean_eu_rel,RS,PC5,-0.03
16.mean_eu_rel,FI,PC1,0.89
16.mean_eu_rel,FI,PC2,0.13
16.mean_eu_rel,FI,PC3,0.18
16.mean_eu_rel,FI,PC4,0.22
16.mean_eu_rel,FI,PC5,0.14
15.max_eu_rel,NB,PC1,0.13
15.max_eu_rel,NB,PC2,0.87
15.max_eu_rel,NB,PC3,-0.06
15.max_eu_rel,NB,PC4,0.03
15.max_eu_rel,NB,PC5,-0.00
