MotionParameter,Scan,PC,Loadings
02.mean_rZ,RS,PC3,0.91
14.mean_FD,FI,PC1,0.91
04.mean_rY,RS,PC5,0.93
06.mean_rX,FI,PC5,0.93
12.mean_X,FI,PC2,0.93
14.mean_FD,RS,PC2,0.93
16.mean_eu_rel,FI,PC1,0.94
16.mean_eu_rel,RS,PC2,0.94
03.max_rY,NB,PC5,0.94
14.mean_FD,NB,PC1,0.95
08.mean_Z,FI,PC3,0.95
10.mean_Y,NB,PC4,0.96
16.mean_eu_rel,NB,PC1,0.97
04.mean_rY,FI,PC4,0.97
04.mean_rY,NB,PC5,0.99
08.mean_Z,NB,PC2,1.00
