,ROI,Delta,,,
1,accumbens,0.20390903,,,
2,amy,0.835351102,,,
3,caudate,0.249210885,,,
4,hippo,1.296663854,,,
5,latvent,0.296326422,,,
6,pallidum,-0.428450012,,,
7,putamen,0.465781919,,,
8,thalamus,1.150531737,,,
