Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA2_NB,lVisPeri_ExStrInf_1,corrected,-0.076933952,0.305447612,0.353118626,-1.027100134,0.074904042,241
UNIBA2_NB,lVisPeri_ExStrSup_1,standard,-0.157660761,0.023075158,0.05375782,-2.287115281,0.068934331,241
UNIBA2_NB,lVisPeri_ExStrSup_1,corrected,-0.158455566,0.035477571,0.070252615,-2.115275365,0.074910136,241
UNIBA2_NB,lVisPeri_StriCal_1,standard,-0.165456895,0.017162684,0.045767158,-2.400181591,0.068935157,241
UNIBA2_NB,lVisPeri_StriCal_1,corrected,-0.17185605,0.022681991,0.05375782,-2.294120034,0.074911534,241
UNIBA2_NB,rContA_IPS_1,standard,-0.113029979,0.102385063,0.149467246,-1.639770825,0.068930351,241
UNIBA2_NB,rContA_IPS_1,corrected,-0.142922468,0.057636785,0.099373767,-1.907956668,0.074908655,241
UNIBA2_NB,rContA_PFCl_1,standard,-0.32206841,5.05E-06,0.0010097,-4.670390596,0.068959631,241
UNIBA2_NB,rContA_PFCl_1,corrected,-0.329988152,1.63E-05,0.001628693,-4.403596941,0.074936048,241
UNIBA2_NB,rContA_PFCl_2,standard,-0.201753894,0.00376232,0.019801686,-2.926535181,0.068939507,241
UNIBA2_NB,rContA_PFCl_2,corrected,-0.202634023,0.00734257,0.029442189,-2.704846825,0.074915156,241
UNIBA2_NB,rContB_IPL_1,standard,-0.169415029,0.014707812,0.042154969,-2.457584336,0.068935591,241
UNIBA2_NB,rContB_IPL_1,corrected,-0.185905034,0.013791725,0.041169327,-2.481608612,0.074913116,241
UNIBA2_NB,rContB_PFCld_1,standard,-0.113870155,0.099872951,0.146871987,-1.651958084,0.068930414,241
UNIBA2_NB,rContB_PFCld_1,corrected,-0.077123841,0.304258195,0.353118626,-1.029635109,0.074904051,241
UNIBA2_NB,rContB_PFClv_1,standard,-0.20871686,0.002739611,0.018240942,-3.027495534,0.068940435,241
UNIBA2_NB,rContB_PFClv_1,corrected,-0.21606116,0.004297439,0.020963118,-2.884010374,0.074916915,241
UNIBA2_NB,rContB_Temp_1,standard,-0.091906284,0.183702961,0.231072907,-1.3333487,0.068928919,241
