Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
UNIBA1_NB,accumbens,standard,-0.1397,0.004288295,0.007623635,-2.868248948,0.048705675,547
UNIBA1_NB,accumbens,corrected,-0.1091,0.036323616,0.058117786,-2.098543747,0.051988433,547
UNIBA1_NB,amy,standard,-0.2888,5.82E-09,4.65E-08,-5.916863641,0.048809643,547
UNIBA1_NB,amy,corrected,-0.2579,9.75E-07,2.49E-06,-4.954137109,0.052057502,547
UNIBA1_NB,caudate,standard,-0.0936,0.055151046,0.080219703,-1.921830629,0.048703563,547
UNIBA1_NB,caudate,corrected,-0.0639,0.219323581,0.292431441,-1.229765111,0.051961142,547
UNIBA1_NB,hippo,standard,-0.3099,4.61E-10,7.38E-09,-6.34816795,0.048817234,547
UNIBA1_NB,hippo,corrected,-0.2691,3.35E-07,1.34E-06,-5.167544314,0.052075025,547
UNIBA1_NB,latvent,standard,0.0475,0.329711532,0.37681318,0.97557257,0.048689356,547
UNIBA1_NB,latvent,corrected,0.0561,0.281054931,0.345913761,1.079038626,0.051990725,547
UNIBA1_NB,pallidum,standard,0.2819,1.29E-08,6.86E-08,5.77603418,0.048805113,547
UNIBA1_NB,pallidum,corrected,0.2599,8.08E-07,2.49E-06,4.992224222,0.052060963,547
UNIBA1_NB,putamen,standard,-0.0202,0.678462078,0.723692883,-0.414786842,0.048699713,547
UNIBA1_NB,putamen,corrected,-0.0055,0.916164214,0.916164214,-0.105316226,0.052223671,547
UNIBA1_NB,thalamus,standard,-0.2405,1.09E-06,2.49E-06,-4.930887943,0.048774177,547
UNIBA1_NB,thalamus,corrected,-0.2092,6.65E-05,0.000132933,-4.020210158,0.052037081,547
