Dataset,ROI,Analysis,Cohens_d,p_value,pFDR,T_values,SE,N
LIBD_RS,lVisPeri_ExStrSup_1,standard,0.003380637,0.950877638,0.965358008,0.061647653,0.054838048,365
LIBD_RS,lVisPeri_ExStrSup_1,corrected,0.01899022,0.737058572,0.788297937,0.336014328,0.056516102,365
LIBD_RS,lVisPeri_StriCal_1,standard,-0.048017386,0.381820308,0.483316846,-0.875620339,0.054838135,365
LIBD_RS,lVisPeri_StriCal_1,corrected,-0.035289849,0.532752354,0.615898675,-0.624420794,0.056516134,365
LIBD_RS,rContA_IPS_1,standard,-0.046506341,0.396964836,0.492939417,-0.848065787,0.054838129,365
LIBD_RS,rContA_IPS_1,corrected,-0.04429324,0.433722884,0.522557692,-0.783727015,0.056516158,365
LIBD_RS,rContA_PFCl_1,standard,-0.143759256,0.009125998,0.041162844,-2.621489064,0.054838778,365
LIBD_RS,rContA_PFCl_1,corrected,-0.136582538,0.016166716,0.057738272,-2.41667391,0.056516743,365
LIBD_RS,rContA_PFCl_2,standard,-0.109669466,0.04626593,0.121752448,-1.999863505,0.054838476,365
LIBD_RS,rContA_PFCl_2,corrected,-0.075396069,0.183039664,0.270723445,-1.33405908,0.056516289,365
LIBD_RS,rContB_IPL_1,standard,-0.131182545,0.01726208,0.060568703,-2.392154596,0.054838657,365
LIBD_RS,rContB_IPL_1,corrected,-0.112163525,0.047956857,0.124563265,-1.98461446,0.056516531,365
LIBD_RS,rContB_PFCld_1,standard,-0.014067421,0.797690772,0.839674497,-0.256526608,0.054838058,365
LIBD_RS,rContB_PFCld_1,corrected,0.002515156,0.964528189,0.969375064,0.044503368,0.056516082,365
LIBD_RS,rContB_PFClv_1,standard,-0.104982227,0.056362642,0.13700018,-1.914391185,0.05483844,365
LIBD_RS,rContB_PFClv_1,corrected,-0.072744768,0.198881561,0.284116516,-1.287147238,0.056516276,365
LIBD_RS,rContB_Temp_1,standard,-0.075575528,0.169011861,0.264081033,-1.378153423,0.054838254,365
LIBD_RS,rContB_Temp_1,corrected,-0.05348697,0.344587906,0.441779366,-0.94640084,0.05651619,365
LIBD_RS,rContC_Cingp_1,standard,-0.047295938,0.389006154,0.489315917,-0.862464438,0.054838131,365
LIBD_RS,rContC_Cingp_1,corrected,-0.03464068,0.540312187,0.621048491,-0.612934382,0.056516131,365
LIBD_RS,rContC_pCun_1,standard,-0.097807121,0.075338793,0.16201891,-1.78355204,0.054838389,365
LIBD_RS,rContC_pCun_1,corrected,-0.086546496,0.126572738,0.214530064,-1.531353178,0.056516352,365
LIBD_RS,rDefaultA_IPL_1,standard,-0.103919746,0.058891148,0.140217019,-1.895016705,0.054838433,365
LIBD_RS,rDefaultA_IPL_1,corrected,-0.089336764,0.114831763,0.203854061,-1.58072367,0.05651637,365
LIBD_RS,rDefaultA_pCunPCC_1,standard,-0.103539262,0.059819327,0.140751358,-1.888078526,0.05483843,365
LIBD_RS,rDefaultA_pCunPCC_1,corrected,-0.094200879,0.09643846,0.182851544,-1.666788348,0.056516401,365
LIBD_RS,rDefaultA_PFCd_1,standard,-0.208518003,0.000168321,0.002829235,-3.80232685,0.054839579,365
LIBD_RS,rDefaultA_PFCd_1,corrected,-0.202859942,0.000378135,0.004201504,-3.589328528,0.056517519,365
LIBD_RS,rDefaultA_PFCm_1,standard,-0.138615948,0.011908356,0.049618149,-2.527701771,0.054838727,365
LIBD_RS,rDefaultA_PFCm_1,corrected,-0.11938351,0.035353289,0.103980261,-2.112362238,0.05651659,365
LIBD_RS,rDefaultB_PFCd_1,standard,-0.193525771,0.000471272,0.004901076,-3.528957689,0.054839357,365
LIBD_RS,rDefaultB_PFCd_1,corrected,-0.191108724,0.000801436,0.007253788,-3.381416232,0.056517362,365
LIBD_RS,rDefaultB_PFCv_1,standard,-0.218679699,8.08E-05,0.002547673,-3.987615311,0.054839718,365
LIBD_RS,rDefaultB_PFCv_1,corrected,-0.217091975,0.000145031,0.002829235,-3.8411311,0.056517721,365
LIBD_RS,rDefaultB_PFCv_2,standard,-0.149232247,0.006818715,0.033262023,-2.721287742,0.054838834,365
LIBD_RS,rDefaultB_PFCv_2,corrected,-0.138986477,0.014400755,0.054726517,-2.459207896,0.056516766,365
LIBD_RS,rDefaultC_PHC_1,standard,-0.105001693,0.056317178,0.13700018,-1.91474614,0.054838441,365
LIBD_RS,rDefaultC_PHC_1,corrected,-0.092695513,0.101859153,0.186897528,-1.640152723,0.056516391,365
LIBD_RS,rDefaultC_Rsp_1,standard,-0.082021529,0.13560843,0.220501512,-1.495698156,0.05483829,365
LIBD_RS,rDefaultC_Rsp_1,corrected,-0.066470641,0.240329685,0.324769845,-1.176133358,0.056516245,365
LIBD_RS,rDorsAttnA_ParOcc_1,standard,-0.137853883,0.012379323,0.050527849,-2.513805628,0.05483872,365
LIBD_RS,rDorsAttnA_ParOcc_1,corrected,-0.129832213,0.022186579,0.07125818,-2.297237061,0.05651668,365
LIBD_RS,rDorsAttnA_SPL_1,standard,-0.081631674,0.137471068,0.221727529,-1.488589042,0.054838288,365
LIBD_RS,rDorsAttnA_SPL_1,corrected,-0.066767215,0.238242248,0.324139113,-1.181380919,0.056516246,365
LIBD_RS,rDorsAttnA_TempOcc_1,standard,-0.138910184,0.011730827,0.049618149,-2.533067107,0.05483873,365
LIBD_RS,rDorsAttnA_TempOcc_1,corrected,-0.113407533,0.045547481,0.121752448,-2.006625519,0.056516541,365
LIBD_RS,rDorsAttnB_FEF_1,standard,-0.090179254,0.10095488,0.186897528,-1.644456333,0.054838339,365
LIBD_RS,rDorsAttnB_FEF_1,corrected,-0.089503344,0.114158992,0.203854061,-1.583671118,0.056516371,365
LIBD_RS,rDorsAttnB_PostC_1,standard,-0.091309628,0.096768986,0.182851544,-1.665068947,0.054838347,365
LIBD_RS,rDorsAttnB_PostC_1,corrected,-0.08167749,0.149283356,0.236957709,-1.445201744,0.056516324,365
LIBD_RS,rDorsAttnB_PostC_2,standard,-0.084907553,0.122422547,0.20926931,-1.548325572,0.054838307,365
LIBD_RS,rDorsAttnB_PostC_2,corrected,-0.076676871,0.175731831,0.268292872,-1.356721451,0.056516296,365
LIBD_RS,rLimbicA_TempPole_1,standard,-0.143477871,0.00926164,0.041162844,-2.616358063,0.054838775,365
LIBD_RS,rLimbicA_TempPole_1,corrected,-0.131242582,0.020787715,0.06864431,-2.322191459,0.056516693,365
LIBD_RS,rLimbicB_OFC_1,standard,-0.11947963,0.029998132,0.091131375,-2.178752351,0.054838555,365
LIBD_RS,rLimbicB_OFC_1,corrected,-0.099583059,0.07892664,0.167929021,-1.762019381,0.056516438,365
LIBD_RS,rSalVentAttnA_FrMed_1,standard,-0.111753263,0.042294391,0.11748442,-2.037861712,0.054838492,365
LIBD_RS,rSalVentAttnA_FrMed_1,corrected,-0.107983168,0.056855075,0.13700018,-1.910648563,0.056516499,365
LIBD_RS,rSalVentAttnA_Ins_1,standard,-0.264213605,2.14E-06,0.000428444,-4.818078966,0.054837957,365
LIBD_RS,rSalVentAttnA_Ins_1,corrected,-0.250185393,1.28E-05,0.001275621,-4.426630023,0.056518252,365
LIBD_RS,rSalVentAttnA_ParMed_1,standard,0.011837194,0.829221255,0.86377214,0.21585727,0.05483806,365
LIBD_RS,rSalVentAttnA_ParMed_1,corrected,0.019836145,0.725809916,0.788297937,0.350982175,0.056516104,365
LIBD_RS,rSalVentAttnA_ParOper_1,standard,-0.09015829,0.10103386,0.186897528,-1.644074045,0.054838339,365
LIBD_RS,rSalVentAttnA_ParOper_1,corrected,-0.089099435,0.115795672,0.203854061,-1.576524413,0.056516369,365
LIBD_RS,rSalVentAttnB_IPL_1,standard,-0.039012268,0.477292141,0.56820493,-0.711408007,0.054838106,365
LIBD_RS,rSalVentAttnB_IPL_1,corrected,-0.03276821,0.562415378,0.635497602,-0.57980282,0.056516127,365
LIBD_RS,rSalVentAttnB_PFCl_1,standard,-0.173960581,0.001642911,0.011330418,-3.172199034,0.054839113,365
LIBD_RS,rSalVentAttnB_PFCl_1,corrected,-0.167887467,0.003174939,0.019242053,-2.970561853,0.056517075,365
LIBD_RS,rSalVentAttnB_PFCmp_1,standard,-0.127188537,0.020936515,0.06864431,-2.319324128,0.054838621,365
LIBD_RS,rSalVentAttnB_PFCmp_1,corrected,-0.113724669,0.044949907,0.121752448,-2.01223681,0.056516543,365
LIBD_RS,rSomMotA_1,standard,-0.025930131,0.636607443,0.70638974,-0.472849028,0.054838076,365
LIBD_RS,rSomMotA_1,corrected,-0.004872192,0.931348923,0.950356044,-0.086208944,0.056516085,365
LIBD_RS,rSomMotA_2,standard,0.006360876,0.907722112,0.930997038,0.115993824,0.054838057,365
LIBD_RS,rSomMotA_2,corrected,0.026511978,0.639282715,0.70638974,0.469104763,0.056516113,365
LIBD_RS,rSomMotA_3,standard,-0.020329138,0.711069969,0.777125649,-0.370712158,0.054838067,365
LIBD_RS,rSomMotA_3,corrected,-0.012331704,0.827400141,0.86377214,-0.218198097,0.056516093,365
LIBD_RS,rSomMotA_4,standard,0.044138534,0.421415686,0.514554758,0.804887782,0.054838122,365
LIBD_RS,rSomMotA_4,corrected,0.055891743,0.323360761,0.422693805,0.988950835,0.0565162,365
LIBD_RS,rSomMotB_Aud_1,standard,-0.214689357,0.000108193,0.002704816,-3.914855104,0.054839669,365
LIBD_RS,rSomMotB_Aud_1,corrected,-0.214807311,0.000169754,0.002829235,-3.800709243,0.056517691,365
LIBD_RS,rSomMotB_Cent_1,standard,-0.058002644,0.29089887,0.385296517,-1.057705653,0.054838172,365
